0	0.1152999450
1	0.1817556412
2	0.2405063291
3	0.2991194276
4	0.3457622455
5	0.3797468354
6	0.4130434783
7	0.4324435883
8	0.4624380848
9	0.4991744634
10	0.5386626307
11	0.5820033021
12	0.6198403963
13	0.6550632911
14	0.6806549257
15	0.7012933407
16	0.7242707760
17	0.7422949917
18	0.7599064392
19	0.7850853054
20	0.8062740782
21	0.8245734728
22	0.8386075949
23	0.8515410017
24	0.8650247661
25	0.8772702256
26	0.8903412218
27	0.8998348927
28	0.9085030270
29	0.9163456247
30	0.9250137589
31	0.9328563566
32	0.9387727023
33	0.9431755641
34	0.9507429829
35	0.9572096863
36	0.9625756742
37	0.9660154100
38	0.9706934507
39	0.9741331866
40	0.9782608696
41	0.9822509631
42	0.9854155201
43	0.9876169510
44	0.9896807925
45	0.9906439185
46	0.9925701706
47	0.9946340121
48	0.9953219593
49	0.9961474959
50	0.9969730325
51	0.9975233902
52	0.9980737479
53	0.9984865162
55	0.9990368740
56	0.9997248211
58	1
